languageCode,targetWord,czech,sourceTitle
en,CHICKEN,kuře/slepice,Kid's Box 1 – odhad základní slovní zásoby
en,FROG,žába,Kid's Box 1 – odhad základní slovní zásoby
en,MOUSE,myš,Kid's Box 1 – odhad základní slovní zásoby
en,RABBIT,králík,Kid's Box 1 – odhad základní slovní zásoby
en,TURTLE,želva,Kid's Box 1 – odhad základní slovní zásoby
en,LIZARD,ještěrka,Kid's Box 1 – odhad základní slovní zásoby
en,SNAKE,had,Kid's Box 1 – odhad základní slovní zásoby
en,MONKEY,opice,Kid's Box 1 – odhad základní slovní zásoby
en,ELEPHANT,slon,Kid's Box 1 – odhad základní slovní zásoby
en,GIRAFFE,žirafa,Kid's Box 1 – odhad základní slovní zásoby
en,CROCODILE,krokodýl,Kid's Box 1 – odhad základní slovní zásoby
en,TIGER,tygr,Kid's Box 1 – odhad základní slovní zásoby
en,LION,lev,Kid's Box 1 – odhad základní slovní zásoby
en,HIPPO,hroch,Kid's Box 1 – odhad základní slovní zásoby
en,PARROT,papoušek,Kid's Box 1 – odhad základní slovní zásoby
en,SPIDER,pavouk,Kid's Box 1 – odhad základní slovní zásoby
en,BANANA,banán,Kid's Box 1 – odhad základní slovní zásoby
en,PEAR,hruška,Kid's Box 1 – odhad základní slovní zásoby
en,CAKE,dort,Kid's Box 1 – odhad základní slovní zásoby
en,BREAD,chléb,Kid's Box 1 – odhad základní slovní zásoby
en,MILK,mléko,Kid's Box 1 – odhad základní slovní zásoby
en,JUICE,džus,Kid's Box 1 – odhad základní slovní zásoby
en,ICE CREAM,zmrzlina,Kid's Box 1 – odhad základní slovní zásoby
en,CHEESE,sýr,Kid's Box 1 – odhad základní slovní zásoby
en,EGG,vejce,Kid's Box 1 – odhad základní slovní zásoby
en,RICE,rýže,Kid's Box 1 – odhad základní slovní zásoby
en,MEAT,maso,Kid's Box 1 – odhad základní slovní zásoby
en,CARROT,mrkev,Kid's Box 1 – odhad základní slovní zásoby
en,POTATO,brambora,Kid's Box 1 – odhad základní slovní zásoby
en,TOMATO,rajče,Kid's Box 1 – odhad základní slovní zásoby
en,PIZZA,pizza,Kid's Box 1 – odhad základní slovní zásoby
en,BURGER,hamburger,Kid's Box 1 – odhad základní slovní zásoby
en,ROOM,pokoj,Kid's Box 1 – odhad základní slovní zásoby
en,BEDROOM,ložnice,Kid's Box 1 – odhad základní slovní zásoby
en,BATHROOM,koupelna,Kid's Box 1 – odhad základní slovní zásoby
en,KITCHEN,kuchyně,Kid's Box 1 – odhad základní slovní zásoby
en,LIVING ROOM,obývací pokoj,Kid's Box 1 – odhad základní slovní zásoby
en,GARDEN,zahrada,Kid's Box 1 – odhad základní slovní zásoby
en,BED,postel,Kid's Box 1 – odhad základní slovní zásoby
en,SOFA,pohovka,Kid's Box 1 – odhad základní slovní zásoby
en,LAMP,lampa,Kid's Box 1 – odhad základní slovní zásoby
en,TV,televize,Kid's Box 1 – odhad základní slovní zásoby
en,BATH,vana,Kid's Box 1 – odhad základní slovní zásoby
en,TOILET,toaleta,Kid's Box 1 – odhad základní slovní zásoby
en,FLOOR,podlaha,Kid's Box 1 – odhad základní slovní zásoby
en,WALL,zeď,Kid's Box 1 – odhad základní slovní zásoby
en,CLOTHES,oblečení,Kid's Box 1 – odhad základní slovní zásoby
en,T-SHIRT,tričko,Kid's Box 1 – odhad základní slovní zásoby
en,SHIRT,košile,Kid's Box 1 – odhad základní slovní zásoby
en,TROUSERS,kalhoty,Kid's Box 1 – odhad základní slovní zásoby
en,SHORTS,kraťasy,Kid's Box 1 – odhad základní slovní zásoby
en,SKIRT,sukně,Kid's Box 1 – odhad základní slovní zásoby
en,DRESS,šaty,Kid's Box 1 – odhad základní slovní zásoby
en,SHOES,boty,Kid's Box 1 – odhad základní slovní zásoby
en,SOCKS,ponožky,Kid's Box 1 – odhad základní slovní zásoby
en,HAT,čepice/klobouk,Kid's Box 1 – odhad základní slovní zásoby
en,JACKET,bunda,Kid's Box 1 – odhad základní slovní zásoby
en,COAT,kabát,Kid's Box 1 – odhad základní slovní zásoby
en,BIG,velký,Kid's Box 1 – odhad základní slovní zásoby
en,SMALL,malý,Kid's Box 1 – odhad základní slovní zásoby
en,LONG,dlouhý,Kid's Box 1 – odhad základní slovní zásoby
en,SHORT,krátký,Kid's Box 1 – odhad základní slovní zásoby
en,HAPPY,šťastný,Kid's Box 1 – odhad základní slovní zásoby
en,SAD,smutný,Kid's Box 1 – odhad základní slovní zásoby
en,HOT,horký,Kid's Box 1 – odhad základní slovní zásoby
en,COLD,studený,Kid's Box 1 – odhad základní slovní zásoby
en,OLD,starý,Kid's Box 1 – odhad základní slovní zásoby
en,NEW,nový,Kid's Box 1 – odhad základní slovní zásoby
en,GOOD,dobrý,Kid's Box 1 – odhad základní slovní zásoby
en,BAD,špatný,Kid's Box 1 – odhad základní slovní zásoby
en,BEAUTIFUL,krásný,Kid's Box 1 – odhad základní slovní zásoby
en,UGLY,ošklivý,Kid's Box 1 – odhad základní slovní zásoby
en,FUNNY,legrační,Kid's Box 1 – odhad základní slovní zásoby
en,FAVOURITE,oblíbený,Kid's Box 1 – odhad základní slovní zásoby
en,OPEN,otevřít,Kid's Box 1 – odhad základní slovní zásoby
en,CLOSE,zavřít,Kid's Box 1 – odhad základní slovní zásoby
en,STAND UP,postavit se,Kid's Box 1 – odhad základní slovní zásoby
en,SIT DOWN,sednout si,Kid's Box 1 – odhad základní slovní zásoby
en,POINT,ukázat,Kid's Box 1 – odhad základní slovní zásoby
en,TOUCH,dotknout se,Kid's Box 1 – odhad základní slovní zásoby
en,COUNT,počítat,Kid's Box 1 – odhad základní slovní zásoby
en,COLOUR,vybarvit/barva,Kid's Box 1 – odhad základní slovní zásoby
en,MATCH,přiřadit,Kid's Box 1 – odhad základní slovní zásoby
en,CIRCLE,zakroužkovat/kruh,Kid's Box 1 – odhad základní slovní zásoby
en,ASK,zeptat se,Kid's Box 1 – odhad základní slovní zásoby
en,ANSWER,odpovědět/odpověď,Kid's Box 1 – odhad základní slovní zásoby
en,SPEAK,mluvit,Kid's Box 1 – odhad základní slovní zásoby
en,SPELL,hláskovat,Kid's Box 1 – odhad základní slovní zásoby
en,SHOW,ukázat,Kid's Box 1 – odhad základní slovní zásoby
en,CLAP,tleskat,Kid's Box 1 – odhad základní slovní zásoby
en,STOP,zastavit,Kid's Box 1 – odhad základní slovní zásoby
en,START,začít,Kid's Box 1 – odhad základní slovní zásoby
en,HAVE,mít,Kid's Box 1 – odhad základní slovní zásoby
en,LIKE,mít rád,Kid's Box 1 – odhad základní slovní zásoby
en,LOVE,milovat,Kid's Box 1 – odhad základní slovní zásoby
en,WANT,chtít,Kid's Box 1 – odhad základní slovní zásoby
en,CAN,umět/moci,Kid's Box 1 – odhad základní slovní zásoby
en,GO,jít,Kid's Box 1 – odhad základní slovní zásoby
en,COME,přijít,Kid's Box 1 – odhad základní slovní zásoby
en,SEE,vidět,Kid's Box 1 – odhad základní slovní zásoby
en,HEAR,slyšet,Kid's Box 1 – odhad základní slovní zásoby
en,MAKE,dělat/vyrábět,Kid's Box 1 – odhad základní slovní zásoby
en,TAKE,vzít,Kid's Box 1 – odhad základní slovní zásoby
en,GIVE,dát,Kid's Box 1 – odhad základní slovní zásoby
en,PUT,položit/dát,Kid's Box 1 – odhad základní slovní zásoby
en,WASH,mýt,Kid's Box 1 – odhad základní slovní zásoby
en,FLY,létat,Kid's Box 1 – odhad základní slovní zásoby
en,SWIM,plavat,Kid's Box 1 – odhad základní slovní zásoby
en,RIDE,jezdit,Kid's Box 1 – odhad základní slovní zásoby
en,CLIMB,lézt,Kid's Box 1 – odhad základní slovní zásoby
en,KICK,kopnout,Kid's Box 1 – odhad základní slovní zásoby
en,CATCH,chytit,Kid's Box 1 – odhad základní slovní zásoby
en,THROW,hodit,Kid's Box 1 – odhad základní slovní zásoby
en,SMILE,usmívat se,Kid's Box 1 – odhad základní slovní zásoby
en,I,já,Kid's Box 1 – odhad základní slovní zásoby
en,YOU,ty/vy,Kid's Box 1 – odhad základní slovní zásoby
en,HE,on,Kid's Box 1 – odhad základní slovní zásoby
en,SHE,ona,Kid's Box 1 – odhad základní slovní zásoby
en,WE,my,Kid's Box 1 – odhad základní slovní zásoby
en,THEY,oni,Kid's Box 1 – odhad základní slovní zásoby
en,MY,můj/moje,Kid's Box 1 – odhad základní slovní zásoby
en,YOUR,tvůj/váš,Kid's Box 1 – odhad základní slovní zásoby
en,THIS,tento/tato,Kid's Box 1 – odhad základní slovní zásoby
en,THAT,tamten/tamta,Kid's Box 1 – odhad základní slovní zásoby
en,YES,ano,Kid's Box 1 – odhad základní slovní zásoby
en,NO,ne,Kid's Box 1 – odhad základní slovní zásoby
en,PLEASE,prosím,Kid's Box 1 – odhad základní slovní zásoby
en,THANK YOU,děkuji,Kid's Box 1 – odhad základní slovní zásoby
en,HELLO,ahoj,Kid's Box 1 – odhad základní slovní zásoby
en,GOODBYE,nashledanou,Kid's Box 1 – odhad základní slovní zásoby
en,GOOD MORNING,dobré ráno,Kid's Box 1 – odhad základní slovní zásoby
en,GOOD NIGHT,dobrou noc,Kid's Box 1 – odhad základní slovní zásoby
en,PARK,park,Kid's Box 1 – odhad základní slovní zásoby
en,SHOP,obchod,Kid's Box 1 – odhad základní slovní zásoby
en,ZOO,zoo,Kid's Box 1 – odhad základní slovní zásoby
en,STREET,ulice,Kid's Box 1 – odhad základní slovní zásoby
en,PLAYGROUND,hřiště,Kid's Box 1 – odhad základní slovní zásoby
en,BUS,autobus,Kid's Box 1 – odhad základní slovní zásoby
en,SUNNY,slunečno,Kid's Box 1 – odhad základní slovní zásoby
en,RAIN,déšť,Kid's Box 1 – odhad základní slovní zásoby
en,CLOUD,mrak,Kid's Box 1 – odhad základní slovní zásoby
en,WIND,vítr,Kid's Box 1 – odhad základní slovní zásoby
