spanish,czech,sourceTitle,languageCode
sonreír,usmívat se,JAREK español.pdf,es
sonrisa,úsměv,JAREK español.pdf,es
reír,smát se,JAREK español.pdf,es
risa,smích,JAREK español.pdf,es
carcajada,hlasitý smích,JAREK español.pdf,es
roncha,pupen / vyrážka,JAREK español.pdf,es
jeringa,injekční stříkačka,JAREK español.pdf,es
vena,žíla,JAREK español.pdf,es
arteria,tepna,JAREK español.pdf,es
paladar,patro / chuť,JAREK español.pdf,es
elote,kukuřice na klasu,JAREK español.pdf,es
esquite,kukuřičný pokrm,JAREK español.pdf,es
atender,obsloužit / věnovat pozornost,JAREK español.pdf,es
atención,pozornost,JAREK español.pdf,es
atento,pozorný,JAREK español.pdf,es
mujer,žena,JAREK español.pdf,es
señor,pán,JAREK español.pdf,es
señora,paní,JAREK español.pdf,es
señorita,slečna,JAREK español.pdf,es
joven,mladý člověk,JAREK español.pdf,es
muchacha,dívka,JAREK español.pdf,es
muchacho,chlapec,JAREK español.pdf,es
chica,holka,JAREK español.pdf,es
chico,kluk,JAREK español.pdf,es
inquisitivo,zvídavý,JAREK español.pdf,es
jugar,hrát si,JAREK español.pdf,es
juguete,hračka,JAREK español.pdf,es
oler,čichat / vonět,JAREK español.pdf,es
quisquilloso,puntičkářský / přecitlivělý,JAREK español.pdf,es
delicado,jemný / choulostivý,JAREK español.pdf,es
fijar,upevnit / všimnout si,JAREK español.pdf,es
fijo,pevný,JAREK español.pdf,es
burbuja,bublina,JAREK español.pdf,es
enganchar,zaháknout / připojit,JAREK español.pdf,es
gancho,háček,JAREK español.pdf,es
enganchado,připojený / závislý,JAREK español.pdf,es
etiquetar,označit štítkem,JAREK español.pdf,es
etiqueta,štítek / etiketa,JAREK español.pdf,es
etiquetado,označený,JAREK español.pdf,es
hambre,hlad,JAREK español.pdf,es
hambriento,hladový,JAREK español.pdf,es
aburrimiento,nuda,JAREK español.pdf,es
aburrido,nudný / znuděný,JAREK español.pdf,es
satisfacer,uspokojit,JAREK español.pdf,es
satisfacción,spokojenost,JAREK español.pdf,es
satisfecho,spokojený,JAREK español.pdf,es
sentencia,rozsudek / věta,JAREK español.pdf,es
ajetreado,hektický,JAREK español.pdf,es
activo,aktivní,JAREK español.pdf,es
productivo,produktivní,JAREK español.pdf,es
pasivo,pasivní,JAREK español.pdf,es
tranquilo,klidný,JAREK español.pdf,es
intenso,intenzivní,JAREK español.pdf,es
divertido,zábavný,JAREK español.pdf,es
sorprendente,překvapivý,JAREK español.pdf,es
refrigerador,lednice,JAREK español.pdf,es
nevera,lednice,JAREK español.pdf,es
refri,lednice,JAREK español.pdf,es
fuegos artificiales,ohňostroj,JAREK español.pdf,es
templado,vlažný / mírný,JAREK español.pdf,es
chimenea,krb / komín,JAREK español.pdf,es
aire,vzduch,JAREK español.pdf,es
humedad,vlhkost,JAREK español.pdf,es
viento,vítr,JAREK español.pdf,es
incertidumbre,nejistota,JAREK español.pdf,es
certidumbre,jistota,JAREK español.pdf,es
acaparar,hromadit / zabrat si,JAREK español.pdf,es
avisar,oznámit / upozornit,JAREK español.pdf,es
fresco,čerstvý / chladný,JAREK español.pdf,es
abandonado,opuštěný,JAREK español.pdf,es
incrustado,vsazený / zarostlý,JAREK español.pdf,es
viejo,starý,JAREK español.pdf,es
anciano,starý člověk,JAREK español.pdf,es
mayor,starší / větší,JAREK español.pdf,es
vago,líný / neurčitý,JAREK español.pdf,es
agradable,příjemný,JAREK español.pdf,es
candidato,kandidát,JAREK español.pdf,es
despensa,spíž / zásoby,JAREK español.pdf,es
recarga,dobití,JAREK español.pdf,es
afuera,venku,JAREK español.pdf,es
adentro,uvnitř,JAREK español.pdf,es
fuera,ven,JAREK español.pdf,es
dentro,uvnitř,JAREK español.pdf,es
saciar,nasytit / ukojit,JAREK español.pdf,es
justamente,přesně / právě,JAREK español.pdf,es
paraíso,ráj,JAREK español.pdf,es
piscina,bazén,JAREK español.pdf,es
mar,moře,JAREK español.pdf,es
deportista,sportovec,JAREK español.pdf,es
encantar,milovat / okouzlit,JAREK español.pdf,es
encanto,kouzlo,JAREK español.pdf,es
encantador,okouzlující,JAREK español.pdf,es
escogido,vybraný,JAREK español.pdf,es
recordar,pamatovat si,JAREK español.pdf,es
recuerdo,vzpomínka,JAREK español.pdf,es
recoger,vyzvednout / sbírat,JAREK español.pdf,es
pared,stěna,JAREK español.pdf,es
muro,zeď,JAREK español.pdf,es
ruta,trasa,JAREK español.pdf,es
cerca,blízko,JAREK español.pdf,es
cultivo,pěstování / kultura,JAREK español.pdf,es
micorriza,mykorhiza,JAREK español.pdf,es
disimular,předstírat / zakrývat,JAREK español.pdf,es
disimulo,přetvářka / nenápadnost,JAREK español.pdf,es
flojera,lenost,JAREK español.pdf,es
lento,pomalý,JAREK español.pdf,es
despacio,pomalu,JAREK español.pdf,es
nutrir,vyživovat,JAREK español.pdf,es
nutriente,živina,JAREK español.pdf,es
nutritivo,výživný,JAREK español.pdf,es
silencio,ticho,JAREK español.pdf,es
silencioso,tichý,JAREK español.pdf,es
azar,náhoda,JAREK español.pdf,es
felicidad,štěstí,JAREK español.pdf,es
contento,spokojený,JAREK español.pdf,es
desgastante,vyčerpávající,JAREK español.pdf,es
elevar,zvednout,JAREK español.pdf,es
elevación,zvýšení / výška,JAREK español.pdf,es
ascender,stoupat / vystoupit,JAREK español.pdf,es
ascenso,výstup / povýšení,JAREK español.pdf,es
ayudar,pomáhat,JAREK español.pdf,es
ayuda,pomoc,JAREK español.pdf,es
romper,rozbít,JAREK español.pdf,es
desahogar,ulevit si / vyventilovat,JAREK español.pdf,es
ahogar,utopit / dusit,JAREK español.pdf,es
presa,vězeňkyně / kořist,JAREK español.pdf,es
prisión,vězení,JAREK español.pdf,es
cárcel,vězení,JAREK español.pdf,es
apresar,uvěznit,JAREK español.pdf,es
seguridad,bezpečnost,JAREK español.pdf,es
asegurar,zajistit,JAREK español.pdf,es
seguro,bezpečný / jistý,JAREK español.pdf,es
talar,pokácet,JAREK español.pdf,es
tala,kácení,JAREK español.pdf,es
nogal,ořešák,JAREK español.pdf,es
jacaranda,žakaranda,JAREK español.pdf,es
dañar,poškodit,JAREK español.pdf,es
asear,uklízet / očistit,JAREK español.pdf,es
aseo,úklid / hygiena,JAREK español.pdf,es
limpiar,čistit,JAREK español.pdf,es
limpieza,úklid / čistota,JAREK español.pdf,es
limpio,čistý,JAREK español.pdf,es
novedoso,nový / inovativní,JAREK español.pdf,es
fallecido,zemřelý,JAREK español.pdf,es
digerir,trávit,JAREK español.pdf,es
anudar,zavázat uzel,JAREK español.pdf,es
nudo,uzel,JAREK español.pdf,es
demorar,zdržet,JAREK español.pdf,es
demora,zdržení,JAREK español.pdf,es
capricho,rozmar,JAREK español.pdf,es
caprichoso,rozmarný,JAREK español.pdf,es
creer,věřit,JAREK español.pdf,es
creencia,víra / přesvědčení,JAREK español.pdf,es
filmar,filmovat,JAREK español.pdf,es
filmación,natáčení,JAREK español.pdf,es
burlar,zesměšnit / obejít,JAREK español.pdf,es
burla,výsměch,JAREK español.pdf,es
vanidad,marnivost,JAREK español.pdf,es
vanidoso,marnivý,JAREK español.pdf,es
entrenar,trénovat,JAREK español.pdf,es
entrenamiento,trénink,JAREK español.pdf,es
anotar,poznamenat,JAREK español.pdf,es
anotación,poznámka,JAREK español.pdf,es
ladrar,štěkat,JAREK español.pdf,es
ladrido,štěkot,JAREK español.pdf,es
comprar,koupit,JAREK español.pdf,es
compra,nákup,JAREK español.pdf,es
vender,prodat,JAREK español.pdf,es
venta,prodej,JAREK español.pdf,es
chupete,dudlík,JAREK español.pdf,es
spa,lázně / wellness,JAREK español.pdf,es
diamante,diamant,JAREK español.pdf,es
tienda,obchod,JAREK español.pdf,es
primavera,jaro,JAREK español.pdf,es
jardín,zahrada,JAREK español.pdf,es
trenza,cop,JAREK español.pdf,es
trenzar,plést cop,JAREK español.pdf,es
atreverse,odvážit se,JAREK español.pdf,es
atrevimiento,opovážlivost / odvaha,JAREK español.pdf,es
atrevido,odvážný / drzý,JAREK español.pdf,es
soltura,lehkost / uvolněnost,JAREK español.pdf,es
increíble,neuvěřitelný,JAREK español.pdf,es
asombroso,úžasný,JAREK español.pdf,es
espectacular,velkolepý,JAREK español.pdf,es
área,oblast / plocha,JAREK español.pdf,es
ave,pták,JAREK español.pdf,es
aves,ptáci,JAREK español.pdf,es
canto,zpěv,JAREK español.pdf,es
cantante,zpěvák / zpívající,JAREK español.pdf,es
